entity1,relation,entity2,merged_sentence,label
Adobe,contributes to,the original PhoneGap site,adobe contributes to the original phonegap site,T
PhoneGap Build,supports,iOS,phonegap build supports ios,T
PhoneGap Build,supports,Android,phonegap build supports android,T
PhoneGap Build,supports,Windows Phone,phonegap build supports windows phone,T
The W3C,standardizes,WSDL,the w3c standardizes wsdl,T
A DateTime object,describes,a date,a datetime object describes a date,T
A DateTime object,describes,a time,a datetime object describes a time,T
A DateTime object,can express,a calendar,a datetime object can express a calendar,T
A DateTime object,can express,time,a datetime object can express time,T
A DateTime object,describes,a date,a datetime object describes a date,T
A DateTime object,describes,a time,a datetime object describes a time,T
A DateTime object,can express,a calendar,a datetime object can express a calendar,T
A DateTime object,can express,time,a datetime object can express time,T
TIMESTAMP values,represent,a moment,timestamp values represent a moment,T
TIMESTAMP values,are based on,UNIX time,timestamp values are based on unix time,T
Date objects,are based on,a time value,date objects are based on a time value,T
a Date,can be used to manipulate,minutes values,a date can be used to manipulate minutes values,T
Time function,can be used to manipulate,minutes values,time function can be used to manipulate minutes values,T
Matplotlib,provides,API,matplotlib provides api,T
Matplotlib,using,toolkits,matplotlib using toolkits,T
PDF,using,toolkits,pdf using toolkits,T
PS,using,toolkits,ps using toolkits,T
EPS,using,toolkits,eps using toolkits,T
TIFF,using,toolkits,tiff using toolkits,T
JPEG,using,toolkits,jpeg using toolkits,T
PGF,using,toolkits,pgf using toolkits,T
SVG files,using,toolkits,svg files using toolkits,T
plot,using,toolkits,plot using toolkits,T
A layout,defines,the visual structure,a layout defines the visual structure,T
A layout,is made up of,View,a layout is made up of view,T
A layout,is made up of,ViewGroup,a layout is made up of viewgroup,T
Android,provides,a straightforward XML vocabulary,android provides a straightforward xml vocabulary,T
a straightforward XML vocabulary,corresponds to,the View classes,a straightforward xml vocabulary corresponds to the view classes,T
Cloud services,include,cloud building,cloud services include cloud building,T
Objects,have,members,objects have members,T
Objects,have,methods,objects have methods,T
Classes,can have,own members,classes can have own members,T
Classes,can have,methods,classes can have methods,T
own members,define,the properties,own members define the properties,T
own members,define,abilities,own members define abilities,T
methods,define,the properties,methods define the properties,T
methods,define,abilities,methods define abilities,T
Modern email,operates across,the Internet,modern email operates across the internet,T
Modern email,operates across,other computer networks,modern email operates across other computer networks,T
Today's email systems,are based on,forward model,today's email systems are based on forward model,T
Email servers,accept,messages,email servers accept messages,T
Methods,can access,attributes,methods can access attributes,T
Spring MVC,stands for,Model View Controller,spring mvc stands for model view controller,T
Kotlin,combines,OOP,kotlin combines oop,T
Kotlin,is focused on,tooling support,kotlin is focused on tooling support,T
Kotlin,is focused on,interoperability,kotlin is focused on interoperability,T
Kotlin,is focused on,safety,kotlin is focused on safety,T
Kotlin,is focused on,clarity,kotlin is focused on clarity,T
Kotlin,targets,the JVM,kotlin targets the jvm,T
Kotlin,targets,JavaScript,kotlin targets javascript,T
Kotlin,supports,JVM bytecode,kotlin supports jvm bytecode,T
Kotlin,supports,JavaScript,kotlin supports javascript,T
Kotlin,supports,Native code,kotlin supports native code,T
SQL Server,aims to make,tuning,sql server aims to make tuning,T
SQL Server,aims to make,self organizing,sql server aims to make self organizing,T
GEOGRAPHY,uses,an ellipsoidal model,geography uses an ellipsoidal model,T
SQL Server,includes,compression features,sql server includes compression features,T
SQL Server,enhanced,the indexing algorithms,sql server enhanced the indexing algorithms,T
SQL Server,includes,Resource Governor,sql server includes resource governor,T
Resource Governor,allows reserving,workflows,resource governor allows reserving workflows,T
Resource Governor,allows reserving,certain users,resource governor allows reserving certain users,T
SQL Server,includes,capabilities,sql server includes capabilities,T
SQL Server,supports,data definition,sql server supports data definition,T
SQL Server,supports,the ADO.NET Entity Framework,sql server supports the ado.net entity framework,T
SQL Server,supports,the reporting tools,sql server supports the reporting tools,T
SQL Server,supports,replication,sql server supports replication,T
Dundas Data Visualization,was acquired by,Microsoft,dundas data visualization was acquired by microsoft,T
SQL Server Reporting Services,includes,the Declarative Management Framework,sql server reporting services includes the declarative management framework,T
the Declarative Management Framework,allows configuring,configuring policies,the declarative management framework allows configuring configuring policies,T
the Declarative Management Framework,allows configuring,constraints,the declarative management framework allows configuring constraints,T
SQL Server Reporting Services,includes,the management side,sql server reporting services includes the management side,T
the Declarative Management Framework,allows configuring,the entire database,the declarative management framework allows configuring the entire database,T
the Declarative Management Framework,allows configuring,certain tables,the declarative management framework allows configuring certain tables,T
The ISO standard,is withdrawn from,the ISO website,the iso standard is withdrawn from the iso website,T
database development tool,combines,ACE Database Engine,database development tool combines ace database engine,T
database development tool,combines,a graphical user interface,database development tool combines a graphical user interface,T
database development tool,uses,ACE database engine,database development tool uses ace database engine,T
database development tool,uses,the Jet,database development tool uses the jet,T
an open source project,enables,modular program construction,an open source project enables modular program construction,T
JSP,supports,taglibs,jsp supports taglibs,T
taglibs,are backed by,pieces,taglibs are backed by pieces,T
JSP,supports,Expression Language,jsp supports expression language,T
JSP,runs in,producing HTML output,jsp runs in producing html output,T
JSP,runs in,the web server,jsp runs in the web server,T
JSP,don't run in,sync,jsp don't run in sync,T
JavaScript,don't run in,sync,javascript don't run in sync,T
JSP,has been succeeded by,Java EE,jsp has been succeeded by java ee,T
JSP,has been succeeded by,Facelets,jsp has been succeeded by facelets,T
JSP,is not treated in,the Java EE 6 tutorial,jsp is not treated in the java ee 6 tutorial,T
The ListView control,is used extensively in,the Windows UI shell,the listview control is used extensively in the windows ui shell,T
The ListView control,providing,the display surface,the listview control providing the display surface,T
The ListView control,is provided by,the Common Controls library,the listview control is provided by the common controls library,T
The ListView control,can be used by,any application,the listview control can be used by any application,T
GTK,are implemented as,columnar TreeView,gtk are implemented as columnar treeview,T
A pointer variable,contains,a memory address,a pointer variable contains a memory address,T
Pointers,have,performance benefits,pointers have performance benefits,T
Windows Communication Foundation,is designed using,architecture principles,windows communication foundation is designed using architecture principles,T
Services,have,a WSDL interface,services have a wsdl interface,T
Windows Communication Foundation,implements,many advanced Web services,windows communication foundation implements many advanced web services,T
Framework,provides,routing,framework provides routing,T
Framework,provides,RSS Syndication Services,framework provides rss syndication services,T
An endpoint,has,an address,an endpoint has an address,T
the endpoint,can be accessed,binding properties,the endpoint can be accessed binding properties,T
batch files,are still supported under,Windows,batch files are still supported under windows,T
Authentication,is different than,Authorization,authentication is different than authorization,T
Authentication,allow,access,authentication allow access,T
Authentication,happen together to verify,identity,authentication happen together to verify identity,T
authorization,happen together to verify,identity,authorization happen together to verify identity,T
Each authentication factor,covers,elements,each authentication factor covers elements,T
Elasticsearch,is often combined with,logstash,elasticsearch is often combined with logstash,T
Elasticsearch,is often combined with,kibana,elasticsearch is often combined with kibana,T
stack,has now been renamed,Elastic Stack,stack has now been renamed elastic stack,T
Elasticsearch,comes with,preprocessing algorithms,elasticsearch comes with preprocessing algorithms,T
Official clients,are available in,ruby,official clients are available in ruby,T
Official clients,are available in,java,official clients are available in java,T
Official clients,are available in,javascript,official clients are available in javascript,T
Official clients,are available in,c#,official clients are available in c#,T
Official clients,are available in,php,official clients are available in php,T
Official clients,are available in,python,official clients are available in python,T
Templates,allow for,generic programming,templates allow for generic programming,T
The C++ Book Guide,contains,books treating templates,the c++ book guide contains books treating templates,T
variables,are constrained by,languages,variables are constrained by languages,T
variables,are constrained by,a specific data type,variables are constrained by a specific data type,T
Data types,share,many commonalities,data types share many commonalities,T
Data types,may vary across,languages,data types may vary across languages,T
Composite data types,consist of,other composite types,composite data types consist of other composite types,T
Composite data types,consist of,the primitive types,composite data types consist of the primitive types,T
The specifics,vary,programming languages,the specifics vary programming languages,T
The specifics,vary,implementations,the specifics vary implementations,T
The specifics,vary,programming languages,the specifics vary programming languages,T
The specifics,vary,implementations,the specifics vary implementations,T
Dart,compiles to,modern JavaScript,dart compiles to modern javascript,T
Dart,provides,tools,dart provides tools,T
Delphi,originated in,Borland,delphi originated in borland,T
Delphi,is currently owned by,Embarcadero,delphi is currently owned by embarcadero,T
Delphi Prism,is mostly compatible with,Delphi syntax,delphi prism is mostly compatible with delphi syntax,T
Breakpoints,can display,a message containing program information,breakpoints can display a message containing program information,T
Breakpoints,can be created using,a debugging tool,breakpoints can be created using a debugging tool,T
Breakpoints,can be created using,simple form,breakpoints can be created using simple form,T
Visual Studio,comes with,partial C++11 support,visual studio comes with partial c++11 support,T
Nginx,is known for,low resource consumption,nginx is known for low resource consumption,T
Nginx,is known for,high performance,nginx is known for high performance,T
Nginx,is known for,stability,nginx is known for stability,T
Nginx,is known for,rich feature set,nginx is known for rich feature set,T
Nginx,is known for,simple configuration,nginx is known for simple configuration,T
Haskell,allows,rapid development,haskell allows rapid development,T
Char8 module,can be used for,instance,char8 module can be used for instance,T
Char8 module,can be used for,an efficient representation,char8 module can be used for an efficient representation,T
SSL,is used as,a blanket term,ssl is used as a blanket term,T
SSL,refers to,the Transport Layer Security,ssl refers to the transport layer security,T
Netscape Communication Corp,pioneered,primitive security protocol,netscape communication corp pioneered primitive security protocol,T
Netscape Communication Corp,pioneered,SSL,netscape communication corp pioneered ssl,T
the HTTP protocol,running over,TLS,the http protocol running over tls,T
ISO,is important as,a reference,iso is important as a reference,T
ISO,is not exactly written for,PDF beginners,iso is not exactly written for pdf beginners,T
Letters,can be encoded as,raster images,letters can be encoded as raster images,T
Letters,can be encoded as,line art,letters can be encoded as line art,T
Letters,can be encoded as,vector graphics,letters can be encoded as vector graphics,T
Letters,can be encoded as,font glyphs,letters can be encoded as font glyphs,T
a PDF files,contain drawing,drawing instructions,a pdf files contain drawing drawing instructions,T
Machine learning,revolves around developing,learning computer algorithms,machine learning revolves around developing learning computer algorithms,T
Machine learning,explores,the construction,machine learning explores the construction,T
Machine learning,explores,study,machine learning explores study,T
Xamarin,is headquartered in,an engineering office,xamarin is headquartered in an engineering office,T
Xamarin,is headquartered in,San Francisco,xamarin is headquartered in san francisco,T
Xamarin,was acquired by,Microsoft,xamarin was acquired by microsoft,T
the Xamarin Platform,includes,Visual Studio,the xamarin platform includes visual studio,T
Xamarin,created,the Xamarin Platform,xamarin created the xamarin platform,T
The Xamarin Platform,includes,Xamarin.iOS,the xamarin platform includes xamarin.ios,T
Xamarin,introduced,build host,xamarin introduced build host,T
build host,provides,the connection,build host provides the connection,T
build host,enhances,access,build host enhances access,T
JPA,is now considered,the standard industry approach,jpa is now considered the standard industry approach,T
JPA,includes,several improvements,jpa includes several improvements,T
purpose OS,was developed by,the late 1960s,purpose os was developed by the late 1960s,T
purpose OS,was developed by,Bell Labs,purpose os was developed by bell labs,T
Unix,was developed as,house operating system,unix was developed as house operating system,T
the free Unix clone Linux,would rise in,the 1990s,the free unix clone linux would rise in the 1990s,T
the Unix,lacks,the trademark,the unix lacks the trademark,T
Mac OS X.,support,the standardized X Window System,mac os x. support the standardized x window system,T
Flask,has,exceptional documentation,flask has exceptional documentation,T
Flask,has,a large number,flask has a large number,T
Flask,has,a friendly community,flask has a friendly community,T
Jobs,can be run across,multiple machines,jobs can be run across multiple machines,T
Jobs,can be run across,cross-platform software,jobs can be run across cross-platform software,T
Jenkins,set,a new build slave,jenkins set a new build slave,T
Jenkins,set,accessible machine,jenkins set accessible machine,T
Jenkins,supports,a long list,jenkins supports a long list,T
Jenkins,support,different source control systems,jenkins support different source control systems,T
Fragments,represent,reusable behaviors,fragments represent reusable behaviors,T
Fragments,represent,portions,fragments represent portions,T
Fragments,represent,an Android app,fragments represent an android app,T
A Fragment,represents,a behavior,a fragment represents a behavior,T
A Fragment,represents,a portion,a fragment represents a portion,T
Fragments,were first introduced in,Android,fragments were first introduced in android,T
The ApiDemos sample application present,provides,runnable fragment examples,the apidemos sample application present provides runnable fragment examples,T
GitHub,offers all of,revision control,github offers all of revision control,T
GitHub,offers all of,source code management,github offers all of source code management,T
GitHub,provides,graphical interface,github provides graphical interface,T
GitHub,provides,desktop,github provides desktop,T
GitHub,provides,access control,github provides access control,T
GitHub,provides,collaboration,github provides collaboration,T
GitHub,offers,plans,github offers plans,T
GitHub,reports having,100 million repositories,github reports having 100 million repositories,T
GitHub,reports having,40 million users,github reports having 40 million users,T
Selenium WebDriver,provides,the WebDriver API,selenium webdriver provides the webdriver api,T
Selenium WebDriver,provides,controlling browsers,selenium webdriver provides controlling browsers,T
Selenium WebDriver,focuses mostly on,user interaction,selenium webdriver focuses mostly on user interaction,T
Selenium WebDriver,does allow,direct JavaScript interaction,selenium webdriver does allow direct javascript interaction,T
Hadoop,refers to,file system,hadoop refers to file system,T
one Name Node,will accept,the requests,one name node will accept the requests,T
one Name Node,use,some Data Nodes,one name node use some data nodes,T
lots,will share,the processing work,lots will share the processing work,T
lots,will share,some Data Nodes,lots will share some data nodes,T
one Name Node,do,some processing,one name node do some processing,T
one Name Node,use,some Data Nodes,one name node use some data nodes,T
Hadoop,works with,other filesystems,hadoop works with other filesystems,T
Hadoop,disposes of,a standalone resource manager,hadoop disposes of a standalone resource manager,T
A session,refers to,the communication,a session refers to the communication,T
A session,is specific to,the user,a session is specific to the user,T
a new session,is created to track,each user,a new session is created to track each user,T
a new session,is created to track,the requests,a new session is created to track the requests,T
A session,is set,a certain point,a session is set a certain point,T
A session,is set,time,a session is set time,T
A session,torn,a later point,a session torn a later point,T
A session,torn,time,a session torn time,T
communication session,may involve,one message,communication session may involve one message,T
the communication,consists of,independent requests,the communication consists of independent requests,T
the communicating parts,needs to save,information,the communicating parts needs to save information,T
any unidirectional transmission,does not define,a session,any unidirectional transmission does not define a session,T
a technology,connects,various kinds,a technology connects various kinds,T
a technology,connects,hypertext documents,a technology connects hypertext documents,T
TimBL,proposed,the idea,timbl proposed the idea,T
Wide Web was Tim Berners,known as,TimBL,wide web was tim berners known as timbl,T
web pages,may contain,text,web pages may contain text,T
web pages,may contain,images,web pages may contain images,T
web pages,may contain,videos,web pages may contain videos,T
web pages,may contain,other multimedia,web pages may contain other multimedia,T
Ionic Framework,has used,Apache cordova,ionic framework has used apache cordova,T
The Ionic Team,are also developing,Capacitor,the ionic team are also developing capacitor,T
web apps,run natively on,iOS,web apps run natively on ios,T
web apps,run natively on,Android,web apps run natively on android,T
web apps,run natively on,Electron,web apps run natively on electron,T
web apps,run natively on,the web,web apps run natively on the web,T
automation tool,uses,a Groovy DSL,automation tool uses a groovy dsl,T
ActionScript,is widely used for,desktop applications,actionscript is widely used for desktop applications,T
ActionScript,is widely used for,RIAs,actionscript is widely used for rias,T
ActionScript,is widely used for,mobile apps,actionscript is widely used for mobile apps,T
ActionScript,can be used to create,web programs,actionscript can be used to create web programs,T
The Java Servlet,are developed under,the Java Community Process,the java servlet are developed under the java community process,T
JSP,are developed under,the Java Community Process,jsp are developed under the java community process,T
Java API,are developed under,the Java Community Process,java api are developed under the java community process,T
Apache Tomcat,is developed in,participatory environment,apache tomcat is developed in participatory environment,T
Animation,can be made with,dimensional objects,animation can be made with dimensional objects,T
Animation,can be made with,art,animation can be made with art,T
Animation,can be made with,imagery,animation can be made with imagery,T
ggplot2,replaces,basic plot,ggplot2 replaces basic plot,T
ggplot2,replaces,the lattice package,ggplot2 replaces the lattice package,T
ggplot2,replaces,R's graphics,ggplot2 replaces r's graphics,T
ggplot2,replaces,the lattice packages,ggplot2 replaces the lattice packages,T
Amazon,provides,storage,amazon provides storage,T
Amazon,provides,a simple web services interface,amazon provides a simple web services interface,T
Amazon S3,gives,any developer access,amazon s3 gives any developer access,T
Amazon,uses to run,inexpensive infrastructure,amazon uses to run inexpensive infrastructure,T
Amazon,uses to run,own global network,amazon uses to run own global network,T
The cURL project,produces,two products,the curl project produces two products,T
The cURL project,produces,libcurl,the curl project produces libcurl,T
The cURL project,consists of,a C library,the curl project consists of a c library,T
The cURL project,consists of,line tool,the curl project consists of line tool,T
libcurl,has,bindings,libcurl has bindings,T
Heroku,features,a large number,heroku features a large number,T
Heroku,features,API deployment strategies,heroku features api deployment strategies,T
Heroku,features,a full API,heroku features a full api,T
Heroku Dev Center,contains,official guides,heroku dev center contains official guides,T
Heroku,allows,safety,heroku allows safety,T
Heroku,allows,portability,heroku allows portability,T
Heroku,manage,specific configuration,heroku manage specific configuration,T
Heroku,uses,the plugin system,heroku uses the plugin system,T
Heroku,has provided,some gems,heroku has provided some gems,T
The Cocoa frameworks,consist of,libraries,the cocoa frameworks consist of libraries,T
The Cocoa frameworks,consist of,APIs,the cocoa frameworks consist of apis,T
Internet Explorer,uses,the Trident rendering engine,internet explorer uses the trident rendering engine,T
Internet Explorer,uses,the Chakra javascript engine,internet explorer uses the chakra javascript engine,T
Internet Explorer Mobile,is based on,Internet Explorer,internet explorer mobile is based on internet explorer,T
Internet Explorer Mobile,made for,ce,internet explorer mobile made for ce,T
Internet Explorer Internet Explorer,is assigned,ms,internet explorer internet explorer is assigned ms,T
Internet Explorer Internet Explorer,is assigned,the w3c,internet explorer internet explorer is assigned the w3c,T
Tkinter,runs on,operating systems,tkinter runs on operating systems,T
Tkinter,is based,the toolkit,tkinter is based the toolkit,T
Tk,provides,a native look,tk provides a native look,T
Tkinter,are included with,all standard Python distributions,tkinter are included with all standard python distributions,T
Tkinter,has,dialogues,tkinter has dialogues,T
dialogues,can be used for,interactive dialogues,dialogues can be used for interactive dialogues,T
interactive dialogues,can be accessed by,Python,interactive dialogues can be accessed by python,T
interactive dialogues,can be accessed by,import tkinter.simpledialog,interactive dialogues can be accessed by import tkinter.simpledialog,T
interactive dialogues,can be accessed by,Python,interactive dialogues can be accessed by python,T
interactive dialogues,can be accessed by,import tkSimpleDialog,interactive dialogues can be accessed by import tksimpledialog,T
exceptions,invoking,a handler block,exceptions invoking a handler block,T
exceptions,invoking,routine,exceptions invoking routine,T
exception,will propagate,the stack,exception will propagate the stack,T
Unhandled exceptions,lead to,abnormal termination,unhandled exceptions lead to abnormal termination,T
software errors,generate,exceptions,software errors generate exceptions,T
a class Sub,inherits from,another class,a class sub inherits from another class,T
a class Sub,inherits from,other object,a class sub inherits from other object,T
Math,involves,the manipulation,math involves the manipulation,T
Mathematicians,seek,patterns,mathematicians seek patterns,T
Mathematicians,establish,truth,mathematicians establish truth,T
Mathematicians,establish,rigorous deduction,mathematicians establish rigorous deduction,T
mathematics,evolved from,measurement,mathematics evolved from measurement,T
mathematics,evolved from,the use,mathematics evolved from the use,T
mathematics,evolved from,the systematic study,mathematics evolved from the systematic study,T
mathematics,evolved from,counting,mathematics evolved from counting,T
mathematics,evolved from,calculation,mathematics evolved from calculation,T
The SVG format,differs from,raster formats,the svg format differs from raster formats,T
SVG,can be embedded within,html using HTML parsing rules,svg can be embedded within html using html parsing rules,T
The Windows API,was formerly called,the Win32 API,the windows api was formerly called the win32 api,T
bit Windows programs,interact with,the Windows API,bit windows programs interact with the windows api,T
The Windows API,is primarily focused on,the C programming language,the windows api is primarily focused on the c programming language,T
The Windows API,exposed,data structures,the windows api exposed data structures,T
The Windows API,may be used by,assembler,the windows api may be used by assembler,T
The Windows API,may be used by,any programming language compiler,the windows api may be used by any programming language compiler,T
npm,can be used to install,ECMAScript modules,npm can be used to install ecmascript modules,T
npm,can be used to install,commonjs,npm can be used to install commonjs,T
npm,can be used to install,ECMAScript modules,npm can be used to install ecmascript modules,T
npm packages,manage,dependencies,npm packages manage dependencies,T
npm packages,pass,information,npm packages pass information,T
npm packages,pass,the package.json file,npm packages pass the package.json file,T
the package.json file,contains,entries,the package.json file contains entries,T
idiom,uses,xml configuration files,idiom uses xml configuration files,T
idiom,uses,the mvc pattern,idiom uses the mvc pattern,T
merchants,need,an online presence,merchants need an online presence,T
bespoke storefront,does not suit,budget,bespoke storefront does not suit budget,T
Magento,is aimed at,merchants,magento is aimed at merchants,T
Magento configuration,can be performed by,minimal technical background,magento configuration can be performed by minimal technical background,T
Magento,offers,extensive customization,magento offers extensive customization,T
Magento,offers,a developer certification program,magento offers a developer certification program,T
the MVC pattern,is supported by,factory methods,the mvc pattern is supported by factory methods,T
Magento data,are based on,Value model,magento data are based on value model,T
Magento,offers,warranties,magento offers warranties,T
Magento,offers,indemnification,magento offers indemnification,T
Magento,provides,warranty,magento provides warranty,T
Magento,provides,indemnification,magento provides indemnification,T
Magento,has,benefit,magento has benefit,T
image processing techniques,applying,standard signal processing techniques,image processing techniques applying standard signal processing techniques,T
The Document Object Model,defines,the logical structure,the document object model defines the logical structure,T
XML,may represent,the DOM,xml may represent the dom,T
XML,may represent,a string,xml may represent a string,T
the DOM,was limited in,the distant past,the dom was limited in the distant past,T
image elements,could be referenced with,a hierarchical name,image elements could be referenced with a hierarchical name,T
a hierarchical name,began with,the root document object,a hierarchical name began with the root document object,T
Laravel,uses,components,laravel uses components,T
Laravel,uses,technics,laravel uses technics,T
Laravel,utilises,composer,laravel utilises composer,T
Mongoose,written in,JavaScript,mongoose written in javascript,T
Mongoose,written in,JavaScript,mongoose written in javascript,T
Mozilla Firefox,implements,many web standards,mozilla firefox implements many web standards,T
Mozilla Firefox,implements,apng,mozilla firefox implements apng,T
Mozilla Firefox,runs on,various operating systems including windows,mozilla firefox runs on various operating systems including windows,T
Mozilla Firefox,runs on,various operating systems including windows,mozilla firefox runs on various operating systems including windows,T
Mozilla Firefox source code,is licensed under,the Mozilla Public License,mozilla firefox source code is licensed under the mozilla public license,T
IntelliJ IDEA,is often simply referred to as,IDEA,intellij idea is often simply referred to as idea,T
IntelliJ IDEA,is often simply referred to as,IntelliJ,intellij idea is often simply referred to as intellij,T
KUBERNETES,can run on,various cloud providers,kubernetes can run on various cloud providers,T
KUBERNETES,can run on,premises,kubernetes can run on premises,T
KUBERNETES,can run on,bare metal machines,kubernetes can run on bare metal machines,T
KUBERNETES,can run on,various cloud providers,kubernetes can run on various cloud providers,T
KUBERNETES,can run on,premises,kubernetes can run on premises,T
KUBERNETES,can run on,bare metal machines,kubernetes can run on bare metal machines,T
GCC,includes,an optimizing C compiler,gcc includes an optimizing c compiler,T
GCC,includes,C,gcc includes c,T
GCC,includes,front ends,gcc includes front ends,T
GCC,includes,Fortran,gcc includes fortran,T
GCC,includes,Ada,gcc includes ada,T
GCC,includes,libraries,gcc includes libraries,T
Syslog,was created solely for,Sendmail,syslog was created solely for sendmail,T
Matrices,can be added,element,matrices can be added element,T
Matrices,can be added,element,matrices can be added element,T
Screen,involves,the programmatic collection,screen involves the programmatic collection,T
OpenGL,gives greatly improved,performance,opengl gives greatly improved performance,T
OpenGL,is designed to provide,rendering,opengl is designed to provide rendering,T
OpenGL ES,have,es,opengl es have es,T
OpenGL ES,have,WebGL,opengl es have webgl,T
WebGL,have,es,webgl have es,T
WebGL,have,WebGL,webgl have webgl,T
Khronos Group,announced,vulkan API,khronos group announced vulkan api,T
Vulkan,is widely thought of as,the successor,vulkan is widely thought of as the successor,T
IIS,stands for,Internet Information Services,iis stands for internet information services,T
IIS,can be used for,problems,iis can be used for problems,T
IIS,be used for,programming problems,iis be used for programming problems,T
XML files,can be used,relational database tables,xml files can be used relational database tables,T
XML files,can be used,geographical information systems,xml files can be used geographical information systems,T
XSLT syntax,is based on,XML,xslt syntax is based on xml,T
XSLT,borrows,functional languages,xslt borrows functional languages,T
XSL,is written in,an XML format,xsl is written in an xml format,T
XSLT,was proposed by,the W3C,xslt was proposed by the w3c,T
Adobe Flash,has reached,the EOL,adobe flash has reached the eol,T
Adobe Flash,has reached,Flash content,adobe flash has reached flash content,T
Adobe,has been available for,2.2 mobile devices,adobe has been available for 2.2 mobile devices,T
Flash,updated by,Adobe,flash updated by adobe,T
The JavaFX platform,is built on,Java technology,the javafx platform is built on java technology,T
JavaFX,is shipped as,a library,javafx is shipped as a library,T
XPath,operates on,logical structure,xpath operates on logical structure,T
XPath,uses,non-XML syntax,xpath uses non-xml syntax,T
XPath,operates on,logical structure,xpath operates on logical structure,T
XPath,gets,XPath name,xpath gets xpath name,T
XPath,gets,XPath use,xpath gets xpath use,T
XPath,gets,URLs,xpath gets urls,T
XPath,is now used in,XSLT,xpath is now used in xslt,T
XPath,is now used in,XPointer,xpath is now used in xpointer,T
XPath,is now used in,other host languages,xpath is now used in other host languages,T
Keras,is also integrated in,the TensorFlow framework,keras is also integrated in the tensorflow framework,T
Keras,be used from,TensorFlow,keras be used from tensorflow,T
Web API,was created by,the Microsoft,web api was created by the microsoft,T
JSON database,provides offline caching,synchronization,json database provides offline caching synchronization,T
Apple,running,the iOS operating system,apple running the ios operating system,T
iPad applications,are usually written in,C,ipad applications are usually written in c,T
iPad applications,are usually written in,Swift,ipad applications are usually written in swift,T
iPad applications,are usually written in,the Xcode IDE,ipad applications are usually written in the xcode ide,T
Apple,running,the iOS operating system,apple running the ios operating system,T
iPad applications,are usually written in,c,ipad applications are usually written in c,T
iPad applications,are usually written in,the Xcode IDE,ipad applications are usually written in the xcode ide,T
Facebook Graph API,is provided by,the Facebook platform,facebook graph api is provided by the facebook platform,T
Encryption,been used by,militaries,encryption been used by militaries,T
Encryption,been used by,governments,encryption been used by governments,T
Encryption,has long been used,militaries,encryption has long been used militaries,T
Encryption,has long been used,governments,encryption has long been used governments,T
Encryption,facilitate,secret communication,encryption facilitate secret communication,T
Encryption,facilitate,secret communication,encryption facilitate secret communication,T
Encryption,is now commonly used in protecting,protecting information,encryption is now commonly used in protecting protecting information,T
Encryption,is also used to protect,data,encryption is also used to protect data,T
Encryption,can protect,the confidentiality,encryption can protect the confidentiality,T
The Canvas,is commonly used to display,drawings,the canvas is commonly used to display drawings,T
The Canvas,draw,pixel data,the canvas draw pixel data,T
Visual Studio Code,includes,rich development experiences,visual studio code includes rich development experiences,T
Visual Studio Code,includes,Git control,visual studio code includes git control,T
Visual Studio Code,includes,various extensions,visual studio code includes various extensions,T
Visual Studio Code,is available for,Linux,visual studio code is available for linux,T
Visual Studio Code,is available for,Windows,visual studio code is available for windows,T
Visual Studio Code,is available for,Mac,visual studio code is available for mac,T
Visual Studio Code,has,a rich ecosystem,visual studio code has a rich ecosystem,T
Visual Studio Code,uses,the Blink layout engine,visual studio code uses the blink layout engine,T
The Visual Studio Code team,provides,keymaps,the visual studio code team provides keymaps,T
The Visual Studio Code team,provides,popular editors,the visual studio code team provides popular editors,T
JSTL,doesn't support,servlet container,jstl doesn't support servlet container,T
Core,is supported by,Microsoft,core is supported by microsoft,T
library,provides,level interface,library provides level interface,T
gnuplot,works for,Mac,gnuplot works for mac,T
gnuplot,works for,Windows,gnuplot works for windows,T
gnuplot,works for,Linux,gnuplot works for linux,T
gnuplot,works for,other operating systems,gnuplot works for other operating systems,T
ArrayList,denotes,an abstract data type,arraylist denotes an abstract data type,T
ArrayList,represents,the list contents,arraylist represents the list contents,T
mod_rewrite,can provide,conditional hooks,mod_rewrite can provide conditional hooks,T
mod_rewrite,can provide,functionality,mod_rewrite can provide functionality,T
mod_rewrite,can be used to perform,external redirects,mod_rewrite can be used to perform external redirects,T
The applicable C++ Standard Library container class,is called,std,the applicable c++ standard library container class is called std,T
CakePHP,uses commonly known,design patterns,cakephp uses commonly known design patterns,T
CakePHP,uses commonly known,the convention,cakephp uses commonly known the convention,T
CakePHP,uses,design patterns,cakephp uses design patterns,T
CakePHP,uses,configuration,cakephp uses configuration,T
CakePHP,uses,convention,cakephp uses convention,T
CakePHP,comes with,Form tampering protection,cakephp comes with form tampering protection,T
CakePHP,comes with,injection prevention,cakephp comes with injection prevention,T
CakePHP,comes with,tools,cakephp comes with tools,T
CakePHP,comes with,input validation,cakephp comes with input validation,T
CakePHP,comes with,xss prevention,cakephp comes with xss prevention,T
CakePHP,comes with,csrf protection,cakephp comes with csrf protection,T
Amazon EC2,rent,virtual machine instances,amazon ec2 rent virtual machine instances,T
Amazon EC2,rent,virtual machine instances,amazon ec2 rent virtual machine instances,T
Razor,supports,seamless transitions,razor supports seamless transitions,T
Razor,supports,seamless transitions,razor supports seamless transitions,T
JDBC,is oriented towards,relational databases,jdbc is oriented towards relational databases,T
